"";"produit";"date";"réactif";"automate";"b0";"b0-";"b0+";"sigmab0";"b1";"b1-";"b1+";"sigmab1";"sigma";"LOB";"LOQ"
"1";"apix";"20230501";"262030";"3707";"0.23596";"0.21082";"0.26111";"0.01294";"-0.00435";"-0.00445";"-0.00425";"5e-05";"0.02436";"12.32197";"41.27464"
"2";"apix";"20230618";"262030";"3707";"0.24962";"0.22935";"0.26989";"0.01043";"-0.00422";"-0.0043";"-0.00415";"4e-05";"0.01964";"10.22975";"34.39224"
"3";"apix";"20230709";"262030";"3707";"0.25194";"0.231";"0.27288";"0.01078";"-0.00428";"-0.00436";"-0.0042";"4e-05";"0.02022";"10.40971";"34.98722"
"4";"apix";"20230920";"263569";"3707";"0.19022";"0.16765";"0.2128";"0.01162";"-0.00427";"-0.00436";"-0.00419";"4e-05";"0.0218";"11.23585";"37.70873"
"5";"apix";"20231105";"263569";"3707";"0.21182";"0.19154";"0.23209";"0.01043";"-0.00398";"-0.00406";"-0.00391";"4e-05";"0.0196";"10.82761";"36.3755"
"6";"apix";"20231209";"263569";"3707";"0.16982";"0.15152";"0.18811";"0.00942";"-0.00404";"-0.00411";"-0.00397";"4e-05";"0.01769";"9.62892";"32.41709"
"7";"apix";"20240121";"263569";"3707";"0.18548";"0.17233";"0.19863";"0.00677";"-0.00412";"-0.00417";"-0.00407";"3e-05";"0.01272";"6.80166";"23.01809"
"8";"apix";"20240121";"263569";"3708";"0.19292";"0.16772";"0.21811";"0.01297";"-0.00384";"-0.00393";"-0.00374";"5e-05";"0.02436";"13.96833";"46.67803"
